rank_order,psi_index,sigma_eff,coeff_vector,monomial
1,12,3969.9811238335556,"-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-1.05;-0.0;-0.0;1.05;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0","β₃^-1.05 * K₃^1.05"
2,9,3812.020886598653,"0.0;0.0;0.0;0.0;0.0;0.0;-1.05;0.0;0.0;1.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0","β₁^-1.05 * K₁^1.05"
3,8,2954.7445188887027,"-0.0;-0.0;-0.0;-0.0;-0.0;1.05;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0","α₃^1.05"
4,10,2836.534481094376,"-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.05;-0.0","k_degp₂^1.05"
5,7,2431.1514148145343,"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.05;0.0;0.0;0.0","k_degm₃^1.05"
6,13,2251.0486002543526,"-0.0;-0.0;-0.0;1.05;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0","α₁^1.05"
7,14,2026.9531889723285,"-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.05","k_degp₃^1.05"
8,11,1997.208120877269,"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.05;0.0;0.0;0.0;0.0;0.0","k_degm₁^1.05"
9,2,1984.298256928887,"-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.05;-0.0;-0.0;-0.0;-0.0","k_degm₂^1.05"
10,1,1341.6082501419462,"-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.05;-0.0;-0.0","k_degp₁^1.05"
11,6,705.9902579346076,"-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-1.05;-0.0;-0.0;1.05;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0","β₂^-1.05 * K₂^1.05"
12,4,462.80055088283007,"-0.0;-0.0;-0.0;-0.0;1.05;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0","α₂^1.05"
13,3,425.45197014142457,"-0.0;-0.0;1.05;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0","α₀₃^1.05"
14,15,322.5240062951301,"1.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0","α₀₁^1.05"
15,5,304.4805676388069,"-0.0;1.05;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0","α₀₂^1.05"
